label,SPXOpenUpDown,SPXPrevChange,SPXPrevVolChange
0,0.005043199,-0.002693489,0.007935902
0,0.002901273,-0.003069136,-0.026592185
0,0.022596589,-0.011305551,-0.125928493
0,0.032891581,-0.017296173,0.032537219
0,0.017512682,-0.005367393,-0.128133324
0,0.021117186,-0.015739812,-0.081965276
0,0.032272629,-0.011755227,-0.265899243
0,0.033166116,-0.01977779,1.910946353
0,0.048606942,-0.020603509,-0.382631985
0,-0.027207478,0.04425498,0.033535045
1,-0.05050966,0.018968302,0.106408435
1,-0.017395218,-0.005214578,0.075445776
0,-0.0032232,0.003165405,-0.07775986
1,-0.004418309,0.013351071,-0.023464108
1,0.011875562,-0.017669119,-0.092692142
0,-0.01580607,0.023283014,0.026481773
1,-0.029556481,0.005552839,0.005309782
1,-0.015071339,0.00245309,0.007538594
1,-0.00651842,0.001922466,0.093934404
1,-0.006408241,0.008987679,0.078617204
1,-0.008762605,0.003148978,-0.062754301
1,0.002129628,0.000891384,0.025787091
1,-0.011489097,0.009748153,-0.07542892
1,-0.011849699,0.000516339,0.024255952
1,-0.00804639,0.010225017,-0.05379346
1,-0.023001349,0.007332313,0.020138024
1,0.006977143,-0.009398461,0.171608791
0,0.007268705,-0.001808233,-0.028439525
0,0.000435185,0.001322547,-0.099848456
1,-0.009726925,0.002754557,0.055710098
1,0.005140172,-0.000423397,0.030994235
0,0.001882565,-0.001848808,-0.094009271
0,-0.013487311,0.010336797,-0.213484083
1,-0.018667941,0.006929874,0.308139612
1,-0.007773806,0.001557906,0.118883637
1,-0.008275642,0.006791131,-0.056338701
1,-0.011400066,0.003430607,0.025265716
1,-0.001197103,-0.001257725,-0.152897068
0,0.010716727,-0.004224417,0.131727369
0,0.003563727,0.005764376,0.07744269
1,-0.006435878,-0.000958507,-0.121689652
0,-0.011778965,0.00812451,0.042770318
1,-0.011049615,0.000992612,-0.043248104
1,0.001664428,0.000812823,0.053641899
1,-0.011565102,0.005564773,0.030466563
1,-0.007022196,0.00378437,-0.078671342
1,-0.005537373,0.002033034,0.077461366
1,0.001502828,-0.00192793,0.038479379
0,-0.004450913,0.004315507,-0.098983277
1,-0.005522023,-0.002938289,0.043530974
0,0.003740362,0.000551431,-0.032239397
1,-7.08213E-06,0.001750631,-0.143236304
1,0.001080991,-0.001298412,0.10690334
0,-0.005556903,0.001954803,0.013385853
1,0.001937086,-0.007660705,0.093181508
0,0.008861404,-0.001703404,-0.053058152
0,0.008284458,-0.006744892,-0.030285337
0,0.015038611,-0.006361795,0.14072793
0,0.008552447,0.004496878,-0.086929152
1,-0.018866097,0.012989449,0.098060178
1,-0.01572975,0.001499613,-0.093442906
1,-0.008388654,0.003978846,0.085430278
1,-0.003097744,-0.000676031,-0.41809708
0,-0.004287044,0.004158952,0.678606719
1,-0.007818698,0.003659674,-0.018791676
1,-0.003516228,-0.002883011,-0.040035002
0,0.005852933,-0.002511217,0.063268298
0,-0.008245459,0.012469292,-0.162937789
1,0.006787568,-0.015401565,0.254879197
0,0.016495344,0.000840518,0.033842103
1,-0.007965326,0.002062122,-0.031687583
1,0.002598515,-0.005089106,0.068001406
0,0.001520199,0.002149939,-0.155727538
1,-0.008820209,0.002167361,0.068539403
1,-0.013574239,0.006515433,0.078185346
1,-0.0064906,-0.000348646,-0.085442111
0,-0.001795751,-0.000935362,0.177455409
0,-0.001146008,0.001878887,-0.041832707
1,-0.006481744,0.002974897,0.030382806
1,-0.004009334,0.002530781,0.015309277
1,0.003564731,-0.002903133,-0.017763961
0,-0.000564323,0.002373817,0.042143377
1,-0.002406226,-0.001244797,-0.203321684
0,-0.005327763,0.002257884,0.194331564
1,-0.00162445,-0.000942121,-0.09225768
0,0.000433431,-0.001785538,-0.055545068
0,0.004071802,-0.005346322,0.027218159
0,0.003789981,7.57261E-05,0.169749329
1,-0.001086638,0.003170279,-0.175261277
1,-0.011896289,0.008140902,0.053949596
1,-0.005896322,-0.002300613,0.006913303
